OG0005744	GO:0031431,GO:0010571,GO:0043539,GO:1901987
OG0007922	GO:0090527,GO:0007169,GO:0005886,GO:0016477,GO:0005737
OG0007687	GO:0008010,GO:0062129
OG0009995	GO:0047631
OG0009419	GO:0004674
OG0004742	GO:0032436,GO:0080008,GO:0032434
OG0002906	GO:0006541,GO:0006528,GO:0050152,GO:0006107,GO:0005739
OG0003321	GO:0005747
OG0009943	GO:0030036,GO:0005912,GO:0007507,GO:0061061,GO:0003779,GO:0051371,GO:0030018,GO:0001725,GO:0031941
OG0003170	GO:0000122,GO:1990841,GO:0035102
OG0009478	GO:0140662
OG0003151	GO:0016192
OG0002457	GO:0005737,GO:0005886,GO:0043197,GO:0007268
OG0000936	GO:0004867,GO:0005615
OG0003340	GO:0005886,GO:0008188,GO:0007186,GO:0004930
OG0009513	GO:0005814,GO:0097730,GO:0060271
OG0008490	GO:0005615
OG0004296	GO:0016020
OG0001660	GO:0005516
OG0006786	GO:0140571,GO:0016020
OG0001233	GO:0012505
OG0005417	GO:0003712,GO:0006357,GO:0016592,GO:0070847
OG0004487	GO:0019005,GO:0031146
OG0007473	GO:0030488,GO:0018364,GO:0046982,GO:0070476
OG0006597	GO:0046513,GO:0046512,GO:0004758,GO:0005783
OG0005606	GO:1902600,GO:0000221,GO:0046961,GO:0005765
OG0008043	GO:0006357,GO:0005634,GO:0000981,GO:0000978
OG0002590	GO:0046856,GO:0019903,GO:0010507,GO:0005737
OG0006565	GO:0005886
OG0004475	GO:0006689,GO:0030203,GO:0004563,GO:0005975,GO:0005764,GO:0016020
OG0009454	GO:0030422,GO:0005634,GO:0003725,GO:0016442,GO:0070578,GO:0035197,GO:0005737,GO:0070920
OG0003096	GO:0071819,GO:0003713,GO:0045893,GO:0006357,GO:0000124
OG0000026	GO:0003677,GO:0030527,GO:0000786
OG0009921	GO:0005783
OG0004005	GO:0003723
OG0009554	GO:0051604,GO:0005789
OG0003196	GO:0042407,GO:0061617
OG0000706	GO:0007017,GO:0005874
OG0006115	GO:0005737,GO:1990481,GO:0031119,GO:0009982,GO:0005634,GO:0009451,GO:0001522,GO:0003723
OG0007106	GO:0005634,GO:0006357
OG0005643	GO:0000978,GO:0006355,GO:0000981
OG0007717	GO:0000785,GO:0008278,GO:0007062,GO:0005634,GO:0003682
OG0001315	GO:0004659,GO:0008299,GO:1990234,GO:0005739,GO:0006744
OG0006299	GO:0016279,GO:0046975
OG0005319	GO:0005783,GO:0003841,GO:0006654
OG0007609	GO:0005739,GO:0004799,GO:0016741,GO:0006231,GO:0005829
OG0005236	GO:0005737,GO:0006606
OG0008860	GO:0016020,GO:1902936
OG0008279	GO:0006357,GO:0000978,GO:0000981
OG0007983	GO:0006826,GO:0016491,GO:0055072,GO:0005886
OG0007666	GO:0051049,GO:0005794
OG0005178	GO:0071705,GO:0035725,GO:0005886,GO:0089718,GO:0005283,GO:0016020,GO:0006865
OG0005660	GO:0003723,GO:0006405,GO:0042565,GO:0005737,GO:0005634,GO:0006611,GO:0005049
OG0002755	GO:0006412,GO:0000028,GO:0003735,GO:0022627,GO:0005840
OG0005376	GO:0043130,GO:0004842,GO:0071797,GO:0000151,GO:0097039,GO:0043161
OG0007068	GO:0005622,GO:0016010,GO:0005198
OG0001295	GO:1990190,GO:0006474,GO:1990189,GO:0031415,GO:0004596
OG0005483	GO:0005789,GO:0045454,GO:0004791
OG0006950	GO:0006269,GO:0005658,GO:0006270
OG0001076	GO:0070971,GO:0007030,GO:0070973,GO:0012507
OG0006226	GO:0031491,GO:0035101,GO:0042393,GO:1902275
OG0004413	GO:0070507,GO:0072393,GO:0005829,GO:0008093,GO:0070840,GO:0034452,GO:0033365,GO:0005794
OG0006503	GO:0005776,GO:0005737,GO:0018105,GO:0046777,GO:0010506,GO:0042594,GO:0016020,GO:0034727,GO:0034045,GO:0000422,GO:0061709,GO:0000407,GO:0004674,GO:0010508,GO:0000045,GO:0048675,GO:0005829
OG0005464	GO:0005739
OG0009886	GO:0016485,GO:0004252,GO:0031998,GO:0005777
OG0006201	GO:0030165,GO:0019887
OG0007691	GO:0021556,GO:0005121,GO:0005576,GO:0008083,GO:0045087
OG0007952	GO:0043025,GO:0034394,GO:0007271,GO:0043231,GO:0043005
OG0001954	GO:0005886,GO:0015179,GO:0016020,GO:0071705,GO:0006865,GO:0089718,GO:0035725,GO:0005283
OG0004247	GO:0006414,GO:0005085,GO:0003746,GO:0005829,GO:0005853
OG0006858	GO:0043122,GO:0070530,GO:0005634,GO:0005737
OG0001051	GO:0005737,GO:0031588,GO:0005634,GO:0007165,GO:0019901
OG0003775	GO:0004809,GO:0005737,GO:0008168
OG0002718	GO:0005794,GO:0007165
OG0008161	GO:0016020,GO:0005886
OG0008802	GO:0006777,GO:1990133
OG0009654	GO:0005886,GO:0016020
OG0008477	GO:0005096,GO:0043547,GO:0016020
OG0005957	GO:0016567,GO:0043161,GO:0005634
OG0001369	GO:0000981,GO:0000978,GO:0006357
OG0005440	GO:0090630,GO:0005096
OG0004267	GO:0003899,GO:0032549,GO:0006351
OG0006777	GO:0032874
OG0005981	GO:0005737
OG0001651	GO:0003723,GO:0071011
OG0007194	GO:0006468,GO:0000082,GO:0004693,GO:0005737,GO:0005634,GO:0010389,GO:0030332,GO:0010033,GO:0007165,GO:0010468,GO:0004674,GO:0000307
OG0005888	GO:0004386,GO:0003723,GO:0005622,GO:0071013
OG0001970	GO:0006493,GO:0004653,GO:0005794
OG0006993	GO:0062129,GO:0008010
OG0001670	GO:0005737,GO:0016791
OG0007175	GO:0005254
OG0006792	GO:0016020
OG0008480	GO:0005737,GO:0016491
OG0004282	GO:0005737
OG0001106	GO:0000045,GO:0000407,GO:1990316,GO:0034497,GO:0000423,GO:0005829,GO:0034727
OG0005245	GO:0033674,GO:0004714,GO:0007275,GO:0005886,GO:0043235,GO:0007169
OG0005739	GO:0000407,GO:0000422,GO:0005829,GO:0019776,GO:0061723,GO:0044804,GO:0000045
OG0005612	GO:0042626,GO:0005886,GO:0016020,GO:0055085
OG0005421	GO:0000479,GO:0003924,GO:0042254,GO:0030688,GO:0000462,GO:0034511,GO:0005525
OG0001911	GO:0016020,GO:0055085,GO:0042626
OG0000185	GO:0006508,GO:0004181,GO:0005615
OG0003307	GO:0006606
OG0004085	GO:0050660,GO:0033539,GO:0009055,GO:0005739
OG0003116	GO:0048856,GO:0005615,GO:0005509,GO:0005518,GO:0050840
OG0000786	GO:0004867,GO:0005615
OG0002573	GO:0042500,GO:0016020,GO:0006465,GO:0033619,GO:0098553,GO:0098554,GO:0030660
OG0004760	GO:0008010,GO:0062129
OG0003182	GO:0045814,GO:0042799
OG0002581	GO:0006506,GO:0005789,GO:0051377
OG0000712	GO:0005874,GO:0007017
